"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,93.1,93.1,6.9,"Aarau AG","Die Gemeinde Aarau hat die Umweltverantwortungsinitiative mit 93,1 Prozent Ja-Stimmen angenommen. Aarau hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4002,44,44,56,"Biberstein AG","56 Prozent der Stimmbürgerinnen und Stimmbürger von Biberstein sagen Nein zur Umweltverantwortungsinitiative. Biberstein hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4003,74.7,74.7,25.3,"Buchs AG","Die Stimmbevölkerung von Buchs AG hat die Umweltverantwortungsinitiative mit 74,7 Prozent angenommen. Buchs AG hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4004,73.3,73.3,26.7,"Densbüren AG","Die Gemeinde Densbüren hat die Umweltverantwortungsinitiative mit 73,3 Prozent Ja-Stimmen angenommen. Densbüren hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4005,11.3,11.3,88.7,"Erlinsbach AG","Nein zur Umweltverantwortungsinitiative in Erlinsbach AG: Mit 2'913 Nein- zu 370 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 88,7 Prozent. Erlinsbach AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4006,17,17,83,"Gränichen AG","In Gränichen hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 83 Prozent verworfen. Gränichen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4007,39.8,39.8,60.2,"Hirschthal AG","In Hirschthal hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 60,2 Prozent verworfen. Hirschthal hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4008,95.7,95.7,4.3,"Küttigen AG","Die Stimmbevölkerung von Küttigen hat die Umweltverantwortungsinitiative mit 95,7 Prozent angenommen. Küttigen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4009,57.8,57.8,42.2,"Muhen AG","In Muhen hat die Stimmbevölkerung der Umweltverantwortungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 57,8 Prozent angenommen. Muhen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4010,56,56,44,"Oberentfelden AG","56 Prozent der Abstimmenden in der Gemeinde Oberentfelden haben Ja gesagt zur Umweltverantwortungsinitiative. Oberentfelden hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4012,54.3,54.3,45.7,"Suhr AG","54,3 Prozent der Abstimmenden in der Gemeinde Suhr haben Ja gesagt zur Umweltverantwortungsinitiative. Suhr hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4013,45.5,45.5,54.5,"Unterentfelden AG","In Unterentfelden hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 54,5 Prozent verworfen. Unterentfelden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4021,90.9,90.9,9.1,"Baden AG","90,9 Prozent der Abstimmenden in der Gemeinde Baden haben Ja gesagt zur Umweltverantwortungsinitiative. Baden hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4022,98.1,98.1,1.9,"Bellikon AG","Ja zur Umweltverantwortungsinitiative in Bellikon: Die Gemeinde hat das Volksbegehren mit 98,1 Prozent der Stimmen angenommen. Bellikon hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4023,90.7,90.7,9.3,"Bergdietikon AG","Die Gemeinde Bergdietikon hat die Umweltverantwortungsinitiative mit 90,7 Prozent Ja-Stimmen angenommen. Bergdietikon hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4024,9.8,9.8,90.2,"Birmenstorf AG","Nein zur Umweltverantwortungsinitiative in Birmenstorf AG: Mit 4'078 Nein- zu 442 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 90,2 Prozent. Birmenstorf AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4026,8.9,8.9,91.1,"Ennetbaden AG","91,1 Prozent der Stimmbürgerinnen und Stimmbürger von Ennetbaden sagen Nein zur Umweltverantwortungsinitiative. Ennetbaden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4027,62.4,62.4,37.6,"Fislisbach AG","Die Stimmbevölkerung von Fislisbach hat die Umweltverantwortungsinitiative mit 62,4 Prozent angenommen. Fislisbach hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4028,85.1,85.1,14.9,"Freienwil AG","Ja zur Umweltverantwortungsinitiative in Freienwil: Mit 85,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Freienwil hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4029,50.2,50.2,49.8,"Gebenstorf AG","Die Stimmbevölkerung von Gebenstorf hat die Umweltverantwortungsinitiative mit 50,2 Prozent angenommen. Gebenstorf hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4030,19.8,19.8,80.2,"Killwangen AG","Nein zur Umweltverantwortungsinitiative in Killwangen: Mit 8'191 Nein- zu 2'016 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 80,2 Prozent. Killwangen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4031,26,26,74,"Künten AG","Nein zur Umweltverantwortungsinitiative in Künten: Mit 6'900 Nein- zu 2'424 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 74 Prozent. Künten hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4032,67.7,67.7,32.3,"Mägenwil AG","Ja zur Umweltverantwortungsinitiative in Mägenwil: Die Gemeinde hat das Volksbegehren mit 67,7 Prozent der Stimmen angenommen. Mägenwil hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4033,66.2,66.2,33.8,"Mellingen AG","66,2 Prozent der Stimmbürgerinnen und Stimmbürger von Mellingen haben die Umweltverantwortungsinitiative angenommen. Mellingen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4034,71.9,71.9,28.1,"Neuenhof AG","71,9 Prozent der Stimmbürgerinnen und Stimmbürger von Neuenhof haben die Umweltverantwortungsinitiative angenommen. Neuenhof hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4035,41.6,41.6,58.4,"Niederrohrdorf AG","Niederrohrdorf hat die Umweltverantwortungsinitiative mit 58,4 Prozent abgelehnt. Niederrohrdorf hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4037,98.7,98.7,1.3,"Oberrohrdorf AG","In Oberrohrdorf hat die Stimmbevölkerung der Umweltverantwortungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 98,7 Prozent angenommen. Oberrohrdorf hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4038,1.1,1.1,98.9,"Obersiggenthal AG","Nein zur Umweltverantwortungsinitiative in Obersiggenthal: Mit 5'253 Nein- zu 58 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 98,9 Prozent. Obersiggenthal hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
