"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,10.8,10.8,89.2,"Herisau AR","Herisau hat die Umweltverantwortungsinitiative mit 89,2 Prozent abgelehnt. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3002,15.9,15.9,84.1,"Hundwil AR","Nein zur Umweltverantwortungsinitiative in Hundwil: Mit 8'638 Nein- zu 1'632 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 84,1 Prozent. Hundwil hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3003,61.6,61.6,38.4,"Schönengrund AR","Die Stimmbevölkerung von Schönengrund hat die Umweltverantwortungsinitiative mit 61,6 Prozent angenommen. Schönengrund hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3004,57.2,57.2,42.8,"Schwellbrunn AR","Die Gemeinde Schwellbrunn hat die Umweltverantwortungsinitiative mit 57,2 Prozent Ja-Stimmen angenommen. Schwellbrunn hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3005,45.9,45.9,54.1,"Stein AR","Nein zur Umweltverantwortungsinitiative in Stein AR: Die Gemeinde hat die Vorlage mit 54,1 Prozent abgelehnt. Stein AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3006,32.3,32.3,67.7,"Urnäsch AR","In Urnäsch hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 67,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Urnäsch hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3007,52.4,52.4,47.6,"Waldstatt AR","52,4 Prozent der Abstimmenden in der Gemeinde Waldstatt haben Ja gesagt zur Umweltverantwortungsinitiative. Waldstatt hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3021,51.1,51.1,48.9,"Bühler AR","51,1 Prozent der Stimmbürgerinnen und Stimmbürger von Bühler haben die Umweltverantwortungsinitiative angenommen. Bühler hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3022,71.2,71.2,28.8,"Gais AR","In Gais hat die Stimmbevölkerung der Umweltverantwortungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 71,2 Prozent angenommen. Gais hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3023,3.6,3.6,96.4,"Speicher AR","Nein zur Umweltverantwortungsinitiative in Speicher: Mit 9'953 Nein- zu 368 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 96,4 Prozent. Speicher hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Ausserrhoden."
3024,24.3,24.3,75.7,"Teufen AR","Nein zur Umweltverantwortungsinitiative in Teufen AR: Die Gemeinde hat die Vorlage mit 75,7 Prozent abgelehnt. Teufen AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3025,40.3,40.3,59.7,"Trogen AR","In Trogen hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 59,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Trogen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3031,68.8,68.8,31.2,"Grub AR","Ja zur Umweltverantwortungsinitiative in Grub AR: Die Gemeinde hat das Volksbegehren mit 68,8 Prozent der Stimmen angenommen. Grub AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3032,59.6,59.6,40.4,"Heiden AR","59,6 Prozent der Stimmbürgerinnen und Stimmbürger von Heiden haben die Umweltverantwortungsinitiative angenommen. Heiden hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3033,83,83,17,"Lutzenberg AR","In Lutzenberg hat die Stimmbevölkerung der Umweltverantwortungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 83 Prozent angenommen. Lutzenberg hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3034,52.4,52.4,47.6,"Rehetobel AR","In Rehetobel hat die Stimmbevölkerung der Umweltverantwortungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 52,4 Prozent angenommen. Rehetobel hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3035,86.7,86.7,13.3,"Reute AR","Die Stimmbevölkerung von Reute AR hat die Umweltverantwortungsinitiative mit 86,7 Prozent angenommen. Reute AR hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Appenzell Ausserrhoden."
3036,25.5,25.5,74.5,"Wald AR","Keine Mehrheit für die Umweltverantwortungsinitiative in Wald AR: Mit 5'473 Nein-Stimmen zu 1'869 Ja-Stimmen oder 74,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Wald AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3037,36.6,36.6,63.4,"Walzenhausen AR","Nein zur Umweltverantwortungsinitiative in Walzenhausen: Die Gemeinde hat die Vorlage mit 63,4 Prozent abgelehnt. Walzenhausen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3038,43.4,43.4,56.6,"Wolfhalden AR","Nein zur Umweltverantwortungsinitiative in Wolfhalden: Mit 9'506 Nein- zu 7'301 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 56,6 Prozent. Wolfhalden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
