"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,18.4,18.4,81.6,"Aarberg BE","Mit 66,1 Prozent Ja hat sich Aarberg für die Solarinitiative ausgesprochen. Den Gegenvorschlag lehnten die Stimmberechtigten mit 81,6 Prozent ab."
302,54.6,54.6,45.4,"Bargen BE","80,4 Prozent der Stimmbürgerinnen und Stimmbürger von Bargen BE haben der Solarinitiative und 54,6 Prozent dem Gegenvorschlag zugestimmt. Durchgesetzt in der Stichfrage hat sich mit 69 Prozent der Gegenvorschlag."
303,40.2,40.2,59.8,"Grossaffoltern BE","In Grossaffoltern wurden beide Vorlagen abgelehnt. Mit 51,6 Prozent wurde die Solarinitiative und mit 59,8 Prozent der Gegenvorschlag verworfen."
304,65.1,65.1,34.9,"Kallnach BE","Kallnach hat die Solarinitiative mit 91,7 Prozent abgelehnt und den Gegenvorschlag mit 65,1 Prozent angenommen."
305,31.9,31.9,68.1,"Kappelen BE","In Kappelen wurden beide Vorlagen abgelehnt. Mit 73,5 Prozent wurde die Solarinitiative und mit 68,1 Prozent der Gegenvorschlag verworfen."
306,74.4,74.4,25.6,"Lyss BE","Lyss hat sowohl die Solarinitiative als auch den Gegenvorschlag mit 71,6 Prozent respektive 74,4 Prozent angenommen. Bei der Stichfrage entschied sich die Gemeinde mit 50,4 Prozent für die Solarinitiative."
307,45.9,45.9,54.1,"Meikirch BE","Nein zur Initiative und zum Gegenvorschlag in Meikirch: 85,9 Prozent haben die Solarinitiative und 54,1 Prozent den Gegenvorschlag abgelehnt."
309,12.5,12.5,87.5,"Radelfingen BE","Radelfingen hat sowohl die Solarinitiative als auch den Gegenvorschlag abgelehnt, mit 52,3 respektive 87,5 Prozent."
310,24,24,76,"Rapperswil BE","Rapperswil BE hat die Solarinitiative mit 67,4 Prozent angenommen und den Gegenvorschlag mit 76 Prozent abgelehnt."
311,32.5,32.5,67.5,"Schüpfen BE","51,2 Prozent der Stimmbürgerinnen und Stimmbürger von Schüpfen haben der Solarinitiative zugestimmt. Den Gegenvorschlag lehnten sie mit 67,5 Prozent ab."
312,48.3,48.3,51.7,"Seedorf BE","Mit 82,5 Prozent Ja hat sich Seedorf BE für die Solarinitiative ausgesprochen. Den Gegenvorschlag lehnten die Stimmberechtigten mit 51,7 Prozent ab."
321,46.5,46.5,53.5,"Aarwangen BE","Mit 51,5 Prozent Ja hat sich Aarwangen für die Solarinitiative ausgesprochen. Den Gegenvorschlag lehnten die Stimmberechtigten mit 53,5 Prozent ab."
322,64.4,64.4,35.6,"Auswil BE","Auswil hat die Solarinitiative mit 57,5 Prozent abgelehnt und den Gegenvorschlag mit 64,4 Prozent angenommen."
