"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,90.7,90.7,9.3,"Aarberg BE","Mit 95,2 Prozent Ja hat sich Aarberg für den Gegenvorschlag zur Solarinitiative ausgesprochen. Die Solarinitiative hat die Gemeinde mit 70,1 abgelehnt."
302,32.8,32.8,67.2,"Bargen BE","74,1 Prozent der Stimmbürgerinnen und Stimmbürger von Bargen BE haben der Solarinitiative zugestimmt. Den Gegenvorschlag lehnten sie mit 62 Prozent ab."
303,39,39,61,"Grossaffoltern BE","52,4 Prozent der Stimmbürgerinnen und Stimmbürger von Grossaffoltern haben dem Gegenvorschlag zur Solarinitiative zugestimmt. Die Initiative lehnten sie mit 73,6 Pozent ab."
304,37.1,37.1,62.9,"Kallnach BE","Kallnach hat sowohl die Solarinitiative als auch den Gegenvorschlag mit 76,7 Prozent respektive 73,4 Prozent angenommen. Bei der Stichfrage entschied sich die Gemeinde mit 62,9 Prozent für den Gegenvorschlag."
305,47.8,47.8,52.2,"Kappelen BE","98,3 Prozent der Stimmbürgerinnen und Stimmbürger von Kappelen haben der Solarinitiative zugestimmt. Den Gegenvorschlag lehnten sie mit 52,3 Prozent ab."
306,26.6,26.6,73.4,"Lyss BE","Lyss hat die Solarinitiative mit 97,8 Prozent angenommen und den Gegenvorschlag mit 60,9 Prozent abgelehnt."
307,76.4,76.4,23.6,"Meikirch BE","Nein zur Initiative und zum Gegenvorschlag in Meikirch: 50,3 Prozent haben die Solarinitiative und 68,5 Prozent den Gegenvorschlag abgelehnt."
309,49.3,49.3,50.7,"Radelfingen BE","Radelfingen hat sowohl die Solarinitiative als auch den Gegenvorschlag mit 79,7 Prozent respektive 83,5 Prozent angenommen. Bei der Stichfrage entschied sich die Gemeinde mit 50,7 Prozent für den Gegenvorschlag."
310,85,85,15,"Rapperswil BE","Rapperswil BE hat die Solarinitiative mit 57,1 Prozent abgelehnt und den Gegenvorschlag mit 63,4 Prozent angenommen."
311,41.6,41.6,58.4,"Schüpfen BE","56,6 Prozent der Stimmbürgerinnen und Stimmbürger von Schüpfen haben der Solarinitiative und 96,4 Prozent dem Gegenvorschlag zugestimmt. Durchgesetzt in der Stichfrage hat sich mit 58,4 Prozent der Gegenvorschlag."
