"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,"iniziative si",74.2,25.8,"Aarberg (BE)",
302,"controproposta si",66.4,33.6,"Bargen (BE)",
303,"iniziative si",58.9,41.1,"Grossaffoltern (BE)",
304,"controproposta si",2.6,97.4,"Kallnach (BE)",
305,"iniziative si",79.9,20.1,"Kappelen (BE)",
306,"iniziative si",66.9,33.1,"Lyss (BE)",
307,"controproposta si",83.3,16.7,"Meikirch (BE)",
309,"due no",39.4,60.6,"Radelfingen (BE)",
310,"iniziative si",85.2,14.8,"Rapperswil (BE)",
311,"iniziative si",65.6,34.4,"Schüpfen (BE)",
312,"controproposta si",12,88,"Seedorf (BE)",
321,"controproposta si",36.1,63.9,"Aarwangen (BE)",
322,"controproposta si",33.4,66.6,"Auswil (BE)",
323,"controproposta si",69.6,30.4,"Bannwil (BE)",
324,"iniziative si",84.4,15.6,"Bleienbach (BE)",
325,"iniziative si",69.5,30.5,"Busswil bei Melchnau (BE)",
326,"iniziative si",84.2,15.8,"Gondiswil (BE)",
329,"controproposta si",5.6,94.4,"Langenthal (BE)",
331,"controproposta si",79.9,20.1,"Lotzwil (BE)",
332,"controproposta si",32.8,67.2,"Madiswil (BE)",
333,"iniziative si",92.2,7.8,"Melchnau (BE)",
335,"iniziative si",96.6,3.4,"Oeschenbach (BE)",
336,"controproposta si",61.3,38.7,"Reisiswil (BE)",
337,"due no",29.9,70.1,"Roggwil (BE)",
338,"iniziative si",74.2,25.8,"Rohrbach (BE)",
339,"iniziative si",73.9,26.1,"Rohrbachgraben (BE)",
340,"iniziative si",74.4,25.6,"Rütschelen (BE)",
341,"controproposta si",30.9,69.1,"Schwarzhäusern (BE)",
342,"controproposta si",73.6,26.4,"Thunstetten (BE)",
344,"due no",44.5,55.5,"Ursenbach (BE)",
345,"due no",45.3,54.7,"Wynau (BE)",
351,"controproposta si",49.4,50.6,"Berna (BE)",
352,"controproposta si",5.2,94.8,"Bolligen (BE)",
353,"iniziative si",54,46,"Bremgarten bei Bern (BE)",
354,"iniziative si",77.9,22.1,"Kirchlindach (BE)",
355,"controproposta si",38.7,61.3,"Köniz (BE)",
356,"iniziative si",52.9,47.1,"Muri bei Bern (BE)",
357,"controproposta si",36.2,63.8,"Oberbalm (BE)",
358,"controproposta si",26.4,73.6,"Stettlen (BE)",
359,"iniziative si",73.4,26.6,"Vechigen (BE)",
360,"iniziative si",51,49,"Wohlen bei Bern (BE)",
361,"controproposta si",20.7,79.3,"Zollikofen (BE)",
362,"due no",6.2,93.8,"Ittigen (BE)",
363,"controproposta si",64.4,35.6,"Ostermundigen (BE)",
371,"due no",29.4,70.6,"Bienne (BE)",
372,"due no",45.5,54.5,"Evilard (BE)",
381,"iniziative si",65.9,34.1,"Arch (BE)",
382,"controproposta si",47.3,52.7,"Büetigen (BE)",
383,"due no",34.3,65.7,"Büren an der Aare (BE)",
385,"controproposta si",83.5,16.5,"Diessbach bei Büren (BE)",
386,"due no",49.9,50.1,"Dotzigen (BE)",
387,"due no",16,84,"Longeau (BE)",
388,"controproposta si",13.7,86.3,"Leuzigen (BE)",
390,"due no",43.2,56.8,"Meinisberg (BE)",
391,"iniziative si",77.7,22.3,"Oberwil bei Büren (BE)",
392,"iniziative si",87.1,12.9,"Perles (BE)",
393,"iniziative si",58.8,41.2,"Rüti bei Büren (BE)",
394,"iniziative si",88.1,11.9,"Wengi (BE)",
401,"due no",10.1,89.9,"Aefligen (BE)",
402,"iniziative si",60.2,39.8,"Alchenstorf (BE)",
403,"controproposta si",9.1,90.9,"Bäriswil (BE)",
404,"due no",2.4,97.6,"Berthoud (BE)",
405,"controproposta si",27.2,72.8,"Ersigen (BE)",
406,"iniziative si",54.7,45.3,"Hasle bei Burgdorf (BE)",
407,"iniziative si",77.9,22.1,"Heimiswil (BE)",
409,"controproposta si",18,82,"Hindelbank (BE)",
410,"controproposta si",34.4,65.6,"Höchstetten (BE)",
411,"iniziative si",84.2,15.8,"Kernenried (BE)",
412,"controproposta si",28.9,71.1,"Kirchberg (BE)",
413,"due no",44.9,55.1,"Koppigen (BE)",
414,"controproposta si",70.9,29.1,"Krauchthal (BE)",
415,"iniziative si",90.3,9.7,"Lyssach (BE)",
418,"due no",22,78,"Oberburg (BE)",
420,"iniziative si",53.1,46.9,"Rüdtligen-Alchenflüh (BE)",
421,"iniziative si",50.6,49.4,"Rumendingen (BE)",
