"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
2008,78.6,78.6,21.4,"Châtillon (FR)","NA NA"
2011,60.4,60.4,39.6,"Cugy (FR)","NA NA"
2016,52,52,48,"Fétigny (FR)","NA NA"
2022,52.3,52.3,47.7,"Gletterens (FR)","NA NA"
2025,29.7,29.7,70.3,"Lully (FR)","NA NA"
2027,47.1,47.1,52.9,"Ménières (FR)","NA NA"
2029,10,10,90,"Montagny (FR)","NA NA"
2035,52.3,52.3,47.7,"Nuvilly (FR)","NA NA"
2038,98.9,98.9,1.1,"Prévondavaux (FR)","NA NA"
2041,76,76,24,"Saint-Aubin (FR)","NA NA"
2043,49,49,51,"Sévaz (FR)","NA NA"
2044,32.2,32.2,67.8,"Surpierre (FR)","NA NA"
2045,27.9,27.9,72.1,"Vallon (FR)","NA NA"
2050,54.1,54.1,45.9,"Les Montets (FR)","NA NA"
2051,56.3,56.3,43.7,"Delley-Portalban (FR)","NA NA"
2053,77.2,77.2,22.8,"Belmont-Broye (FR)","NA NA"
2054,36.7,36.7,63.3,"Estavayer (FR)","NA NA"
2055,45.8,45.8,54.2,"Cheyres-Châbles (FR)","NA NA"
2063,18.6,18.6,81.4,"Billens-Hennens (FR)","NA NA"
2067,48.2,48.2,51.8,"Le Châtelard (FR)","NA NA"
2068,46.6,46.6,53.4,"Châtonnaye (FR)","NA NA"
2079,36.3,36.3,63.7,"Grangettes (FR)","NA NA"
2086,68.7,68.7,31.3,"Massonnens (FR)","NA NA"
2087,53,53,47,"Mézières (FR)","NA NA"
2096,78.2,78.2,21.8,"Romont (FR)","NA NA"
2097,44.1,44.1,55.9,"Rue (FR)","NA NA"
2099,49.3,49.3,50.7,"Siviriez (FR)","NA NA"
2102,8.1,8.1,91.9,"Ursy (FR)","NA NA"
2113,58.8,58.8,41.2,"Vuisternens-devant-Romont (FR)","NA NA"
2114,52.2,52.2,47.8,"Villorsonnens (FR)","NA NA"
2115,59,59,41,"Torny (FR)","NA NA"
2117,51.5,51.5,48.5,"Villaz (FR)","NA NA"
2121,78.8,78.8,21.2,"Haut-Intyamon (FR)","NA NA"
