"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,89.1,89.1,10.9,"Boécourt (JU)","À Boécourt, les habitants disent oui à 89,1 pour cent à l'initiative sur la responsabilité environnementale. Boécourt a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6703,28.8,28.8,71.2,"Bourrignon (JU)","Les habitants de Bourrignon s'opposent à l'initiative sur la responsabilité environnementale avec 71,2 pour cent de non. Bourrignon a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6704,49.6,49.6,50.4,"Châtillon (JU)","Les habitants de Châtillon (JU) rejettent l'initiative sur la responsabilité environnementale à 50,4 pour cent. Châtillon (JU) a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6706,85.1,85.1,14.9,"Courchapoix (JU)","À Courchapoix, les habitants disent oui à 85,1 pour cent à l'initiative sur la responsabilité environnementale. Courchapoix a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6708,25.1,25.1,74.9,"Courrendlin (JU)","Les habitants de Courrendlin rejettent l'initiative sur la responsabilité environnementale à 74,9 pour cent. Courrendlin a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6709,61,61,39,"Courroux (JU)","À Courroux, les habitants sont favorables à l'initiative sur la responsabilité environnementale par 61 pour cent des suffrages. Courroux a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6710,38.9,38.9,61.1,"Courtételle (JU)","À Courtételle, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 61,1 pour cent des voix. Courtételle a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6711,48.6,48.6,51.4,"Delémont (JU)","Les habitants de Delémont rejettent l'initiative sur la responsabilité environnementale à 51,4 pour cent. Delémont a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6712,92.5,92.5,7.5,"Develier (JU)","L'initiative sur la responsabilité environnementale passe la rampe à Develier avec 92,5 pour cent de oui. Develier a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6713,10.4,10.4,89.6,"Ederswiler (JU)","Les habitants d'Ederswiler s'opposent à l'initiative sur la responsabilité environnementale avec 89,6 pour cent de non. Ederswiler a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6715,85.4,85.4,14.6,"Mervelier (JU)","C'est oui à 85,4 pour cent à l'initiative sur la responsabilité environnementale à Mervelier. Mervelier a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6716,17.7,17.7,82.3,"Mettembert (JU)","Les habitants de Mettembert s'opposent à l'initiative sur la responsabilité environnementale avec 82,3 pour cent de non. Mettembert a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6718,24.4,24.4,75.6,"Movelier (JU)","L'initiative sur la responsabilité environnementale échoue à Movelier avec 75,6 pour cent des suffrages. Movelier a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6719,39.7,39.7,60.3,"Pleigne (JU)","L'initiative sur la responsabilité environnementale échoue à Pleigne avec 60,3 pour cent des suffrages. Pleigne a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6721,48.4,48.4,51.6,"Rossemaison (JU)","Les habitants de Rossemaison s'opposent à l'initiative sur la responsabilité environnementale avec 51,6 pour cent de non. Rossemaison a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6722,88.3,88.3,11.7,"Saulcy (JU)","À Saulcy, les habitants disent oui à 88,3 pour cent à l'initiative sur la responsabilité environnementale. Saulcy a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6724,60.6,60.6,39.4,"Soyhières (JU)","L'initiative sur la responsabilité environnementale passe la rampe à Soyhières avec 60,6 pour cent de oui. Soyhières a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6729,22.7,22.7,77.3,"Haute-Sorne (JU)","L'initiative sur la responsabilité environnementale échoue à Haute-Sorne avec 77,3 pour cent des suffrages. Haute-Sorne a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6730,14,14,86,"Val Terbi (JU)","C'est non à 86 pour cent à l'initiative sur la responsabilité environnementale à Val Terbi. Val Terbi a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6741,54.9,54.9,45.1,"Le Bémont (JU)","Les habitants du Bémont (JU) approuvent l'initiative sur la responsabilité environnementale avec 54,9 pour cent des voix. Le Bémont (JU) a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6742,51.6,51.6,48.4,"Les Bois (JU)","Les électeurs des Bois valident l'initiative sur la responsabilité environnementale avec 51,6 pour cent des voix. Les Bois a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6743,56.9,56.9,43.1,"Les Breuleux (JU)","À Les Breuleux, les habitants disent oui à 56,9 pour cent à l'initiative sur la responsabilité environnementale. Les Breuleux a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6745,40.2,40.2,59.8,"Les Enfers (JU)","À Les Enfers, les habitants disent non à 59,8 pour cent à l'initiative sur la responsabilité environnementale. Les Enfers a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6748,80.8,80.8,19.2,"Les Genevez (JU)","C'est oui à 80,8 pour cent à l'initiative sur la responsabilité environnementale aux Genevez (JU). Les Genevez (JU) a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6750,75.5,75.5,24.5,"Lajoux (JU)","Les électeurs de Lajoux (JU) valident l'initiative sur la responsabilité environnementale avec 75,5 pour cent des voix. Lajoux (JU) a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
6751,44.7,44.7,55.3,"Montfaucon (JU)","Les habitants de Montfaucon s'opposent à l'initiative sur la responsabilité environnementale avec 55,3 pour cent de non. Montfaucon a rejeté le texte des Jeunes Vert-e-s, contrairement à son canton."
6753,50,50,50,"Muriaux (JU)","Les habitants de Muriaux acceptent l'initiative sur la responsabilité environnementale à 50 pour cent. Muriaux a approuvé le texte des Jeunes Vert-e-s, tout comme son canton."
