"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1001,57.2,57.2,42.8,"Doppleschwand LU","57,2 Prozent der Stimmbürgerinnen und Stimmbürger von Doppleschwand haben dem Stimmrechtsalter 16 zugestimmt. Doppleschwand hat damit anders abgestimmt als der gesamte Kanton, der die Vorlage abgelehnt hat."
1002,69.3,69.3,30.7,"Entlebuch LU","Entlebuch hat das Stimmrechtsalter 16 mit 69,3 Prozent angenommen. Entlebuch hat damit anders abgestimmt als der gesamte Kanton, der die Vorlage abgelehnt hat."
1004,68,68,32,"Flühli LU","68 Prozent der Stimmbürgerinnen und Stimmbürger von Flühli haben dem Stimmrechtsalter 16 zugestimmt. Flühli hat damit anders abgestimmt als der gesamte Kanton, der die Vorlage abgelehnt hat."
1005,93.3,93.3,6.7,"Hasle LU","Mit 93,3 Prozent Ja hat sich Hasle LU für das Stimmrechtsalter 16 ausgesprochen. Hasle LU hat damit anders abgestimmt als der gesamte Kanton, der die Vorlage abgelehnt hat."
1007,41.8,41.8,58.2,"Romoos LU","Keine Mehrheit für das Stimmrechtsalter 16 in Romoos. 58,2 Prozent haben es verworfen. Romoos hat damit gleich abgestimmt wie der Kanton, der die Vorlage auch abgelehnt hat."
1008,31.1,31.1,68.9,"Schüpfheim LU","Nein zum Stimmrechtsalter 16 in Schüpfheim: 68,9 Prozent haben die Vorlage abgelehnt. Schüpfheim hat damit gleich abgestimmt wie der Kanton, der die Vorlage auch abgelehnt hat."
1009,37.1,37.1,62.9,"Werthenstein LU","Nein zum Stimmrechtsalter 16 in Werthenstein: 62,9 Prozent haben die Vorlage abgelehnt. Werthenstein hat damit gleich abgestimmt wie der Kanton, der die Vorlage auch abgelehnt hat."
1010,16.8,16.8,83.2,"Escholzmatt-Marbach LU","Nein zum Stimmrechtsalter 16 in Escholzmatt-Marbach: 83,2 Prozent haben die Vorlage abgelehnt. Escholzmatt-Marbach hat damit gleich abgestimmt wie der Kanton, der die Vorlage auch abgelehnt hat."
1021,70.4,70.4,29.6,"Aesch LU","Mit 70,4 Prozent Ja hat sich Aesch LU für das Stimmrechtsalter 16 ausgesprochen. Aesch LU hat damit anders abgestimmt als der gesamte Kanton, der die Vorlage abgelehnt hat."
1023,30.6,30.6,69.4,"Ballwil LU","Nein zum Stimmrechtsalter 16 in Ballwil: 69,4 Prozent haben die Vorlage abgelehnt. Ballwil hat damit gleich abgestimmt wie der Kanton, der die Vorlage auch abgelehnt hat."
1024,2.8,2.8,97.2,"Emmen LU","Emmen hat das Stimmrechtsalter 16 mit 97,2 Prozent abgelehnt. Emmen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton."
