"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3201,2.9,2.9,97.1,"Häggenschwil SG","Häggenschwil hat die Umweltverantwortungsinitiative mit 97,1 Prozent abgelehnt. Häggenschwil hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3202,14.7,14.7,85.3,"Muolen SG","In Muolen hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 85,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Muolen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3203,21.7,21.7,78.3,"St. Gallen SG","78,3 Prozent der Stimmbürgerinnen und Stimmbürger von St. Gallen sagen Nein zur Umweltverantwortungsinitiative. St. Gallen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3204,96.5,96.5,3.5,"Wittenbach SG","Ja zur Umweltverantwortungsinitiative in Wittenbach. Die Gemeinde hat das Volksbegehren mit 96,5 Prozent der Stimmen angenommen. Wittenbach hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton St. Gallen."
3211,49.3,49.3,50.7,"Berg SG","In Berg SG hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 50,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Berg SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3212,33,33,67,"Eggersriet SG","Nein zur Umweltverantwortungsinitiative in Eggersriet: Mit 8'539 Nein- zu 4'211 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 67 Prozent. Eggersriet hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3213,51.8,51.8,48.2,"Goldach SG","51,8 Prozent der Abstimmenden in der Gemeinde Goldach haben Ja gesagt zur Umweltverantwortungsinitiative. Goldach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3214,81.5,81.5,18.5,"Mörschwil SG","Ja zur Umweltverantwortungsinitiative in Mörschwil: Mit 81,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Mörschwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3215,16.6,16.6,83.4,"Rorschach SG","Keine Mehrheit für die Umweltverantwortungsinitiative in Rorschach: Mit 8'770 Nein-Stimmen zu 1'740 Ja-Stimmen oder 83,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Rorschach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3216,54.3,54.3,45.7,"Rorschacherberg SG","54,3 Prozent der Stimmbürgerinnen und Stimmbürger von Rorschacherberg haben die Umweltverantwortungsinitiative angenommen. Rorschacherberg hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
