"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,50.3,50.3,49.7,"Arbedo-Castione (TI)","Gli elettori di Arbedo-Castione si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 50,3 per cento di ""sì"". Arbedo-Castione ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5002,76.2,76.2,23.8,"Bellinzona (TI)","L'iniziativa per la resposanbilità ambientale è stata accolta a Bellinzona, dove ha riscosso il 76,2 per cento di voti a favore. Bellinzona ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5003,54.4,54.4,45.6,"Cadenazzo (TI)","Nel comune di Cadenazzo, i cittadini hanno accolto l'iniziativa per la resposanbilità ambientale con il 54,4 per cento di voti favorevoli. Cadenazzo ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5009,78.9,78.9,21.1,"Isone (TI)","Gli abitanti di Isone hanno accolto l'iniziativa per la resposanbilità ambientale con il 78,9 per cento di ""sì"". Isone ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5010,59.4,59.4,40.6,"Lumino (TI)","I cittadini di Lumino hanno accolto l'iniziativa per la resposanbilità ambientale con il 59,4 per cento di voti a favore. Lumino ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5017,38.1,38.1,61.9,"Sant'Antonino (TI)","I cittadini di Sant'Antonino hanno respinto l'iniziativa per la resposanbilità ambientale con il 61,9 per cento di voti contrari. Sant'Antonino ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5048,56.6,56.6,43.4,"Acquarossa (TI)","Gli elettori di Acquarossa si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 56,6 per cento di ""sì"". Acquarossa ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5049,61.1,61.1,38.9,"Blenio (TI)","Gli elettori di Blenio si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 61,1 per cento di ""sì"". Blenio ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5050,22.7,22.7,77.3,"Serravalle (TI)","I cittadini di Serravalle hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,3 per cento di voti contrari. Serravalle ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5061,28.9,28.9,71.1,"Airolo (TI)","Nel comune di Airolo, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 71,1 per cento di voti contrari. Airolo ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5063,3.5,3.5,96.5,"Bedretto (TI)","Gli elettori di Bedretto si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 96,5 per cento di voti contrari. Il maggior numero di ""no"" nel canton Ticino è stato ottenuto a Bedretto."
5064,59.7,59.7,40.3,"Bodio (TI)","Nel comune di Bodio, i cittadini hanno accolto l'iniziativa per la resposanbilità ambientale con il 59,7 per cento di voti favorevoli. Bodio ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5071,58.4,58.4,41.6,"Dalpe (TI)","I cittadini di Dalpe hanno accolto l'iniziativa per la resposanbilità ambientale con il 58,4 per cento di voti a favore. Dalpe ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5072,45.7,45.7,54.3,"Faido (TI)","I cittadini di Faido hanno respinto l'iniziativa per la resposanbilità ambientale con il 54,3 per cento di voti contrari. Faido ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5073,30.9,30.9,69.1,"Giornico (TI)","L'iniziativa per la resposanbilità ambientale è stata respinta a Giornico, dove ha riscosso il 69,1 per cento di ""no"". Giornico ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5076,83.4,83.4,16.6,"Personico (TI)","Il 83,4 per cento degli elettori di Personico ha accolto l'iniziativa per la resposanbilità ambientale. Personico ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5077,7.4,7.4,92.6,"Pollegio (TI)","A Pollegio gli abitanti si sono opposti al potenziamento delle strade nazionali con il 92,6 per cento di voti a sfavore. Pollegio ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5078,30.2,30.2,69.8,"Prato (Leventina) (TI)","Nel comune di Prato (Leventina), i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 69,8 per cento di voti contrari. Prato (Leventina) ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5079,57.6,57.6,42.4,"Quinto (TI)","Il 57,6 per cento degli elettori di Quinto ha accolto l'iniziativa per la resposanbilità ambientale. Quinto ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5091,75.1,75.1,24.9,"Ascona (TI)","L'iniziativa per la resposanbilità ambientale è stata accolta a Ascona, dove ha riscosso il 75,1 per cento di voti a favore. Ascona ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5096,64.9,64.9,35.1,"Brione sopra Minusio (TI)","Gli abitanti di Brione sopra Minusio hanno accolto l'iniziativa per la resposanbilità ambientale con il 64,9 per cento di ""sì"". Brione sopra Minusio ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5097,53.8,53.8,46.2,"Brissago (TI)","Gli elettori di Brissago si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 53,8 per cento di ""sì"". Brissago ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5108,73.7,73.7,26.3,"Gordola (TI)","I cittadini di Gordola hanno accolto l'iniziativa per la resposanbilità ambientale con il 73,7 per cento di voti a favore. Gordola ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5112,62.9,62.9,37.1,"Lavertezzo (TI)","Gli abitanti di Lavertezzo hanno accolto l'iniziativa per la resposanbilità ambientale con il 62,9 per cento di ""sì"". Lavertezzo ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5113,23,23,77,"Locarno (TI)","Gli abitanti di Locarno hanno respinto l'iniziativa per la resposanbilità ambientale con il 77 per cento di ""no"". Locarno ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5115,26.9,26.9,73.1,"Losone (TI)","Nel comune di Losone, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 73,1 per cento di voti contrari. Losone ha respinto il testo, risultato che si è confermato anche a livello cantonale."
5117,92.4,92.4,7.6,"Mergoscia (TI)","I cittadini di Mergoscia hanno accolto l'iniziativa per la resposanbilità ambientale con il 92,4 per cento di voti a favore. Mergoscia ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
5118,75.2,75.2,24.8,"Minusio (TI)","L'iniziativa per la resposanbilità ambientale è stata accolta a Minusio, dove ha riscosso il 75,2 per cento di voti a favore. Minusio ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
