"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,1.4,1.4,98.6,"Aigle (VD)","À Aigle, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 98,6 pour cent des voix. Aigle a rejeté l'initiative, contrairement à son canton."
5402,35,35,65,"Bex (VD)","Les habitants de Bex rejettent l'initiative sur la responsabilité environnementale avec 65 pour cent de non. Bex a rejeté l'initiative, contrairement à son canton."
5403,11.3,11.3,88.7,"Chessel (VD)","Les habitants de Chessel s'opposent à l'initiative sur la responsabilité environnementale avec 88,7 pour cent de non. Chessel a rejeté l'initiative, contrairement à son canton."
5404,50.3,50.3,49.7,"Corbeyrier (VD)","Les électeurs de Corbeyrier valident l'initiative sur la responsabilité environnementale avec 50,3 pour cent des voix. Corbeyrier a approuvé l'initiative, tout comme son canton."
5405,45,45,55,"Gryon (VD)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Gryon avec 55 pour cent de non. Gryon a rejeté l'initiative, contrairement à son canton."
5406,53.3,53.3,46.7,"Lavey-Morcles (VD)","À Lavey-Morcles, les habitants disent oui à 53,3 pour cent à l'initiative sur la responsabilité environnementale. Lavey-Morcles a approuvé l'initiative, tout comme son canton."
5407,22.9,22.9,77.1,"Leysin (VD)","L'initiative sur la responsabilité environnementale échoue à Leysin avec 77,1 pour cent des suffrages. Leysin a rejeté l'initiative, contrairement à son canton."
5408,73.1,73.1,26.9,"Noville (VD)","L'initiative sur la responsabilité environnementale passe la rampe à Noville avec 73,1 pour cent de oui. Noville a approuvé l'initiative, tout comme son canton."
5409,64.1,64.1,35.9,"Ollon (VD)","Les électeurs d'Ollon valident l'initiative sur la responsabilité environnementale avec 64,1 pour cent des voix. Ollon a approuvé l'initiative, tout comme son canton."
5410,81.7,81.7,18.3,"Ormont-Dessous (VD)","Les habitants d'Ormont-Dessous acceptent l'initiative sur la responsabilité environnementale avec 81,7 pour cent de oui. Ormont-Dessous a approuvé l'initiative, tout comme son canton."
5411,50.6,50.6,49.4,"Ormont-Dessus (VD)","Les électeurs d'Ormont-Dessus valident l'initiative sur la responsabilité environnementale avec 50,6 pour cent des voix. Ormont-Dessus a approuvé l'initiative, tout comme son canton."
5412,71.8,71.8,28.2,"Rennaz (VD)","L'initiative sur la responsabilité environnementale passe la rampe à Rennaz avec 71,8 pour cent de oui. Rennaz a approuvé l'initiative, tout comme son canton."
5413,87,87,13,"Roche (VD)","À Roche (VD), les habitants disent oui à 87 pour cent à l'initiative sur la responsabilité environnementale. Roche (VD) a approuvé l'initiative, tout comme son canton."
5414,40.4,40.4,59.6,"Villeneuve (VD)","À Villeneuve (VD), les habitants disent non à 59,6 pour cent à l'initiative sur la responsabilité environnementale. Villeneuve (VD) a rejeté l'initiative, contrairement à son canton."
5415,10.4,10.4,89.6,"Yvorne (VD)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Yvorne avec 89,6 pour cent de non. Yvorne a rejeté l'initiative, contrairement à son canton."
5422,58.6,58.6,41.4,"Aubonne (VD)","L'initiative sur la responsabilité environnementale passe la rampe à Aubonne avec 58,6 pour cent de oui. Aubonne a approuvé l'initiative, tout comme son canton."
5423,72.6,72.6,27.4,"Ballens (VD)","À Ballens, les habitants disent oui à 72,6 pour cent à l'initiative sur la responsabilité environnementale. Ballens a approuvé l'initiative, tout comme son canton."
5424,56.1,56.1,43.9,"Berolle (VD)","Les habitants de Berolle acceptent l'initiative sur la responsabilité environnementale avec 56,1 pour cent de oui. Berolle a approuvé l'initiative, tout comme son canton."
5425,35.8,35.8,64.2,"Bière (VD)","Les habitants de Bière s'opposent à l'initiative sur la responsabilité environnementale avec 64,2 pour cent de non. Bière a rejeté l'initiative, contrairement à son canton."
