"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,72.1,72.1,27.9,"Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis acceptent l'initiative sur la responsabilité environnementale avec 72,1 pour cent de oui. Aeugst am Albis a approuvé l'initiative, contrairement à son canton."
2,56.6,56.6,43.4,"Affoltern am Albis (ZH)","C'est oui à 56,6 pour cent à l'initiative sur la responsabilité environnementale à Affoltern am Albis. Affoltern am Albis a approuvé l'initiative, contrairement à son canton."
3,51.2,51.2,48.8,"Bonstetten (ZH)","C'est oui à 51,2 pour cent à l'initiative sur la responsabilité environnementale à Bonstetten. Bonstetten a approuvé l'initiative, contrairement à son canton."
4,64.4,64.4,35.6,"Hausen am Albis (ZH)","À Hausen am Albis, les habitants disent oui à 64,4 pour cent à l'initiative sur la responsabilité environnementale. Hausen am Albis a approuvé l'initiative, contrairement à son canton."
5,52.1,52.1,47.9,"Hedingen (ZH)","Les habitants de Hedingen approuvent l'initiative sur la responsabilité environnementale avec 52,1 pour cent des voix. Hedingen a approuvé l'initiative, contrairement à son canton."
6,56,56,44,"Kappel am Albis (ZH)","C'est oui à 56 pour cent à l'initiative sur la responsabilité environnementale à Kappel am Albis. Kappel am Albis a approuvé l'initiative, contrairement à son canton."
7,13.8,13.8,86.2,"Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative sur la responsabilité environnementale avec 86,2 pour cent de non. Knonau a rejeté l'initiative, tout comme son canton."
8,66.1,66.1,33.9,"Maschwanden (ZH)","À Maschwanden, les habitants sont favorables à l'initiative sur la responsabilité environnementale avec 66,1 pour cent des suffrages. Maschwanden a approuvé l'initiative, contrairement à son canton."
9,46.3,46.3,53.7,"Mettmenstetten (ZH)","À Mettmenstetten, les habitants disent non à 53,7 pour cent à l'initiative sur la responsabilité environnementale. Mettmenstetten a rejeté l'initiative, tout comme son canton."
10,8.1,8.1,91.9,"Obfelden (ZH)","À Obfelden, les habitants disent non à 91,9 pour cent à l'initiative sur la responsabilité environnementale. Obfelden a rejeté l'initiative, tout comme son canton."
11,26.8,26.8,73.2,"Ottenbach (ZH)","Les habitants d'Ottenbach s'opposent à l'initiative sur la responsabilité environnementale avec 73,2 pour cent de non. Ottenbach a rejeté l'initiative, tout comme son canton."
12,58.3,58.3,41.7,"Rifferswil (ZH)","Les habitants de Rifferswil approuvent l'initiative sur la responsabilité environnementale avec 58,3 pour cent des voix. Rifferswil a approuvé l'initiative, contrairement à son canton."
13,3.3,3.3,96.7,"Stallikon (ZH)","À Stallikon, les habitants disent non à 96,7 pour cent à l'initiative sur la responsabilité environnementale. Stallikon a rejeté l'initiative, tout comme son canton."
14,83.9,83.9,16.1,"Wettswil am Albis (ZH)","Les habitants de Wettswil am Albis acceptent l'initiative sur la responsabilité environnementale avec 83,9 pour cent de oui. Wettswil am Albis a approuvé l'initiative, contrairement à son canton."
22,43.7,43.7,56.3,"Benken (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Benken (ZH) avec 56,3 pour cent de non. Benken (ZH) a rejeté l'initiative, tout comme son canton."
23,25.2,25.2,74.8,"Berg am Irchel (ZH)","C'est non à 74,8 pour cent à l'initiative sur la responsabilité environnementale à Berg am Irchel. Berg am Irchel a rejeté l'initiative, tout comme son canton."
24,48.2,48.2,51.8,"Buch am Irchel (ZH)","L'initiative sur la responsabilité environnementale échoue à Buch am Irchel avec 51,8 pour cent des suffrages. Buch am Irchel a rejeté l'initiative, tout comme son canton."
25,76.3,76.3,23.7,"Dachsen (ZH)","Les électeurs de Dachsen valident l'initiative sur la responsabilité environnementale avec 76,3 pour cent des voix. Dachsen a approuvé l'initiative, contrairement à son canton."
26,63.1,63.1,36.9,"Dorf (ZH)","À Dorf, les habitants sont favorables à l'initiative sur la responsabilité environnementale avec 63,1 pour cent des suffrages. Dorf a approuvé l'initiative, contrairement à son canton."
27,40.2,40.2,59.8,"Feuerthalen (ZH)","C'est non à 59,8 pour cent à l'initiative sur la responsabilité environnementale à Feuerthalen. Feuerthalen a rejeté l'initiative, tout comme son canton."
28,90.1,90.1,9.9,"Flaach (ZH)","Les habitants de Flaach acceptent l'initiative sur la responsabilité environnementale avec 90,1 pour cent de oui. Flaach a approuvé l'initiative, contrairement à son canton."
29,79.9,79.9,20.1,"Flurlingen (ZH)","C'est oui à 79,9 pour cent à l'initiative sur la responsabilité environnementale à Flurlingen. Flurlingen a approuvé l'initiative, contrairement à son canton."
31,32.7,32.7,67.3,"Henggart (ZH)","C'est non à 67,3 pour cent à l'initiative sur la responsabilité environnementale à Henggart. Henggart a rejeté l'initiative, tout comme son canton."
33,41.2,41.2,58.8,"Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à l'initiative sur la responsabilité environnementale avec 58,8 pour cent de non. Kleinandelfingen a rejeté l'initiative, tout comme son canton."
34,30.1,30.1,69.9,"Laufen-Uhwiesen (ZH)","C'est non à 69,9 pour cent à l'initiative sur la responsabilité environnementale à Laufen-Uhwiesen. Laufen-Uhwiesen a rejeté l'initiative, tout comme son canton."
35,12.8,12.8,87.2,"Marthalen (ZH)","Les habitants de Marthalen s'opposent à l'initiative sur la responsabilité environnementale avec 87,2 pour cent de non. Marthalen a rejeté l'initiative, tout comme son canton."
37,61.4,61.4,38.6,"Ossingen (ZH)","L'initiative sur la responsabilité environnementale passe la rampe à Ossingen avec 61,4 pour cent de oui. Ossingen a approuvé l'initiative, contrairement à son canton."
38,10.6,10.6,89.4,"Rheinau (ZH)","Les habitants de Rheinau rejettent l'initiative sur la responsabilité environnementale avec 89,4 pour cent de non. Rheinau a rejeté l'initiative, tout comme son canton."
39,42.2,42.2,57.8,"Thalheim an der Thur (ZH)","Les habitants de Thalheim an der Thur rejettent l'initiative sur la responsabilité environnementale avec 57,8 pour cent de non. Thalheim an der Thur a rejeté l'initiative, tout comme son canton."
40,95.9,95.9,4.1,"Trüllikon (ZH)","Les électeurs de Trüllikon valident l'initiative sur la responsabilité environnementale avec 95,9 pour cent des voix. Trüllikon a approuvé l'initiative, contrairement à son canton."
41,32.8,32.8,67.2,"Truttikon (ZH)","À Truttikon, les habitants disent non à 67,2 pour cent à l'initiative sur la responsabilité environnementale. Truttikon a rejeté l'initiative, tout comme son canton."
43,48.5,48.5,51.5,"Volken (ZH)","À Volken, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 51,5 pour cent des voix. Volken a rejeté l'initiative, tout comme son canton."
51,74.1,74.1,25.9,"Bachenbülach (ZH)","Les électeurs de Bachenbülach valident l'initiative sur la responsabilité environnementale avec 74,1 pour cent des voix. Bachenbülach a approuvé l'initiative, contrairement à son canton."
52,50.1,50.1,49.9,"Bassersdorf (ZH)","À Bassersdorf, les habitants disent oui à 50,1 pour cent à l'initiative sur la responsabilité environnementale. Bassersdorf a approuvé l'initiative, contrairement à son canton."
53,41.1,41.1,58.9,"Bülach (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Bülach avec 58,9 pour cent de non. Bülach a rejeté l'initiative, tout comme son canton."
